	Data  collected  in all Unit under Urban Economic department																																																									
																																																										
Department unit name	Variable names(Labels Or string)	Dataflow(How data flow from cell level to CoK Currently)	Existing system that are used	What tasks can the current system perform?																																																						
Urban and Peri urban Agriculture																																																										
Girinka 	Beneficiaries and Location full details, Ear Tag Number,Status(Alive, Sold, Dead),Source (Inkomoko):Gahunda ya Girinka,pass-on ,Partners – NGO or development partner support, pass-on principle full details	Umudugudu,Akagali, Umurenge(cow donor contract, cow status report),Akarere	No	No system																																																						
Cows inseminated	Date of Insemination, Farmer and location details,Ear Tag Number	Cell- sector- District- Cok	No	No system																																																						
Calves recorded	Data Field(Date Recorded,Date of Birth,Farmer's name,Breed of the calf,Mother ID	Cell- sector- District- Cok	No	No system																																																						
Insurance (Cows, goats, pig,…)	Ear Tag Number,Farmer Name,Animal Type,Insurance Provider,Compensation Paid,Premium Payment Status,Full adress location	Cell- sector- District- Cok	Yes	 System available																																																						
Land use consolidation per categories(maize, vegetables, beans, rice)	Farmer Name,National ID,Phone Number,Full adress location, Cooperative if available,Land Parcel ID,Land Size (ha),Crop Category,Crop Variety,Fertilizer Used,Irrigation(yes/no), crop insurance(maize and rice) data	Cell- sector- District- Cok	No	No system																																																						
Fertilizers	Farmer Full adress,Land Parcel ID,Land Size (ha),Fertilizer Type,Fertilizer Name,Quantity Applied,Unit,Application Date,Supplier,Cost,Season,Agro dealer full details		Smart nkunganire system	Data related to organic fertilizer																																																						
Forest rehabilitation(ha)	Data Field,Full adress location,																																																									
Tree plantation (Ornemental, ,,,,,,)( numbers),Agro forestry(ha)	Full adress location,Plantation Category(Ornamental, Fruit Trees, Indigenous Trees, Agroforestry, Commercial Forest, Shade Trees, Bamboo, etc.),Number of Trees Planted,																																																									
Cold rooms established	Location full adress,Establishment Date,Ownership,Purpose,Storage Capacity																																																									
Coffee plantation and production	Locationand Farm full adress,Number of tree,																																																									
Livestock farming per categories	Location full and Farms adress,																																																									
																																																										
Lodges	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Number of rooms; Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Resorts	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Bars	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Residential houses	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth);Number of rooms;  Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Affordable housing	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Commercial building	SN,  Name of the Owner/Shareholders; Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth);Occupation rate;  Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Garages	SN,  Name of the Owner/Shareholders; Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Car Wash/Ikinamba	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Saloons	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
ICPCs (Udukiriro);	SN,  Number of beneficiaries (Male, Female, Youth); Location (District, Sector ,Cell,Village); Activities carried out;	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Industries	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Forex Bureau;	No, Name of the Owner, Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Development Bank	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Insurance companies;	SN,  Name of representative/Manager;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Microfinance Institutions (MFIs);	SN,  Name of representative/Manager;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Commercial banks	SN,  Name of representative/Manager;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Petro stations	SN,  Name of the Owner/Shareholders; Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Business registered per categories (Mobile Money Providers, .. 	SN,  Name of the Owner/Shareholders; Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
Mining and quaries	SN,  Name of the Owner/Shareholders;  Gender (M/F); ID; Telephone, Email , Number of employees (Male, Female, Youth); Location (District, Sector ,Cell,Village).	Village-Cell- Sector- District- CoK	No	Data compilation and timely report generation																																																						
