"location_id","type","name","status"
2507,"SECTOR","Kibirizi","ACTIVE"
2508,"SECTOR","Kibumbwe","ACTIVE"
2509,"SECTOR","Kitabi","ACTIVE"
2510,"SECTOR","Mbazi","ACTIVE"
2511,"SECTOR","Mugano","ACTIVE"
2512,"SECTOR","Musange","ACTIVE"
2513,"SECTOR","Musebeya","ACTIVE"
2514,"SECTOR","Mushubi","ACTIVE"
2515,"SECTOR","Nkomane","ACTIVE"
2516,"SECTOR","Tare","ACTIVE"
2517,"SECTOR","Uwinkingi","ACTIVE"
2601,"SECTOR","Bweramana","ACTIVE"
2602,"SECTOR","Byimana","ACTIVE"
2603,"SECTOR","Kabagali","ACTIVE"
2604,"SECTOR","Kinazi","ACTIVE"
2605,"SECTOR","Kinihira","ACTIVE"
2606,"SECTOR","Mbuye","ACTIVE"
2607,"SECTOR","Mwendo","ACTIVE"
2608,"SECTOR","Ntongwe","ACTIVE"
2609,"SECTOR","Ruhango","ACTIVE"
2701,"SECTOR","Cyeza","ACTIVE"
2702,"SECTOR","Kabacuzi","ACTIVE"
2703,"SECTOR","Kibangu","ACTIVE"
2704,"SECTOR","Kiyumba","ACTIVE"
2705,"SECTOR","Muhanga","ACTIVE"
2706,"SECTOR","Mushishiro","ACTIVE"
2707,"SECTOR","Nyabinoni","ACTIVE"
2708,"SECTOR","Nyamabuye","ACTIVE"
2709,"SECTOR","Nyarusange","ACTIVE"
2710,"SECTOR","Rongi","ACTIVE"
2711,"SECTOR","Rugendabari","ACTIVE"
2712,"SECTOR","Shyogwe","ACTIVE"
2801,"SECTOR","Gacurabwenge","ACTIVE"
2802,"SECTOR","Karama","ACTIVE"
2803,"SECTOR","Kayenzi","ACTIVE"
2804,"SECTOR","Kayumbu","ACTIVE"
2805,"SECTOR","Mugina","ACTIVE"
2806,"SECTOR","Musambira","ACTIVE"
2807,"SECTOR","Ngamba","ACTIVE"
2808,"SECTOR","Nyamiyaga","ACTIVE"
2809,"SECTOR","Nyarubaka","ACTIVE"
2810,"SECTOR","Rugarika","ACTIVE"
2811,"SECTOR","Rukoma","ACTIVE"
2812,"SECTOR","Runda","ACTIVE"
3101,"SECTOR","Bwishyura","ACTIVE"
3102,"SECTOR","Gashari","ACTIVE"
3103,"SECTOR","Gishyita","ACTIVE"
3104,"SECTOR","Gitesi","ACTIVE"
3105,"SECTOR","Mubuga","ACTIVE"
3106,"SECTOR","Murambi","ACTIVE"
3107,"SECTOR","Murundi","ACTIVE"
3108,"SECTOR","Mutuntu","ACTIVE"
3109,"SECTOR","Rubengera","ACTIVE"
3110,"SECTOR","Rugabano","ACTIVE"
3111,"SECTOR","Ruganda","ACTIVE"
3112,"SECTOR","Rwankuba","ACTIVE"
3113,"SECTOR","Twumba","ACTIVE"
3201,"SECTOR","Boneza","ACTIVE"
3202,"SECTOR","Gihango","ACTIVE"
3203,"SECTOR","Kigeyo","ACTIVE"
3204,"SECTOR","Kivumu","ACTIVE"
3205,"SECTOR","Manihira","ACTIVE"
